,price,area,rooms,floor,floors,year,looked_by,latitude,longitude,saved,construction_year,renovation_year,price_sqm,type_Blokinis,type_Kita,type_Medinis,type_Monolitinis,type_Mūrinis,type_nan,mounting_Dalinė apdaila,mounting_Kita,mounting_Neįrengtas,mounting_Įrengtas,mounting_nan,energy_class_A,energy_class_A+,energy_class_A++,energy_class_B,energy_class_C,energy_class_D,energy_class_F,energy_class_G,energy_class_nan,aeroterminis,centrinis,centrinis kolektorinis,dujinis,elektra,geoterminis,kietu kuru,kita,saulės energija,skystu kuru,balkonas,drabužinė,none,palepe,pirtis,rūsys,sandėliukas,terasa,vieta_automobiliui,kameros,kodine_spyna,sargas,sarvuotos_durys,signalizacija,atskiras įėjimas,aukcionas,aukštos lubos,butas palėpėje,butas per kelis aukštus,buto dalis,internetas,kabelinė televizija,nauja elektros instaliacija,nauja kanalizacija,renovuotas namas,tualetas ir vonia atskirai,uždaras kiemas,virtuvė sujungta su kambariu,price_sqm_log,building_age,building_age_reno,lat_long,distance_to_center,price_cat_exp
0,145000,40.0,2,4,4,2021,16,,,0,2021,2021,3625.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.195609567288775,2,2,"(nan, nan)",,1
1,39000,18.0,1,4,5,1970,25,54.659729,25.272295,3,1970,1970,2166.6666666666665,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,7.680945167215619,53,53,"(54.659729, 25.272295)",3.295340712805127,0
3,132000,47.31,2,1,9,2009,22,54.666815,25.211018,1,2009,2009,2790.1077996195304,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.933835511925451,14,14,"(54.666815, 25.211018)",4.586196466786725,0
4,169000,55.0,2,1,5,1940,73,54.681272,25.271595,0,1940,1940,3072.7272727272725,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03032080867274,83,83,"(54.681272, 25.271595)",0.8999818440139784,0
5,69999,35.52,2,1,3,1968,48,54.702982,25.19733,174,1968,1968,1970.6925675675675,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,7.586140317091199,55,55,"(54.702982, 25.19733)",4.956346622528012,0
6,95000,45.51,2,3,5,"1967 statyba, 2023 renovacija",157,54.726685,25.298658,8,1967,2023,2087.453306965502,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6437000885541275,56,0,"(54.726685, 25.298658)",4.521572350236278,0
7,171500,53.64,2,1,5,1977,90,54.675692,25.247451,3,1977,1977,3197.2408650261,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.070043487174654,46,46,"(54.675692, 25.247451)",2.1337127724686016,0
8,32000,39.9,2,1,2,1960,68,54.647975,25.11492,31,1960,1960,802.0050125313284,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.687114857886046,63,63,"(54.647975, 25.11492)",11.027117819332737,0
9,99000,50.61,2,9,9,1984,62,54.721005,25.216634,16,1984,1984,1956.135151155898,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.57872594389074,39,39,"(54.721005, 25.216634)",4.947977066799126,0
10,43000,25.0,1,2,5,1970,235,54.674653,25.271722,3,1970,1970,1720.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.450079569807499,53,53,"(54.674653, 25.271722)",1.635554812664994,0
